v1	I(R1)
1.068999999999992e+000	2.067714e-008
1.069999999999992e+000	2.109340e-008
1.070999999999992e+000	2.151803e-008
1.071999999999992e+000	2.195122e-008
1.072999999999992e+000	2.239311e-008
1.073999999999992e+000	2.284391e-008
1.074999999999992e+000	2.330377e-008
1.075999999999992e+000	2.377288e-008
1.076999999999992e+000	2.425144e-008
1.077999999999991e+000	2.473962e-008
1.078999999999991e+000	2.523763e-008
1.079999999999991e+000	2.574565e-008
1.080999999999991e+000	2.626389e-008
1.081999999999991e+000	2.679256e-008
1.082999999999991e+000	2.733186e-008
1.083999999999991e+000	2.788201e-008
1.084999999999991e+000	2.844323e-008
1.085999999999991e+000	2.901574e-008
1.086999999999990e+000	2.959976e-008
1.087999999999990e+000	3.019552e-008
1.088999999999990e+000	3.080326e-008
1.089999999999990e+000	3.142323e-008
1.090999999999990e+000	3.205567e-008
1.091999999999990e+000	3.270081e-008
1.092999999999990e+000	3.335894e-008
1.093999999999990e+000	3.403029e-008
1.094999999999990e+000	3.471514e-008
1.095999999999989e+000	3.541376e-008
1.096999999999989e+000	3.612643e-008
1.097999999999989e+000	3.685341e-008
1.098999999999989e+000	3.759502e-008
1.099999999999989e+000	3.835153e-008
1.100999999999989e+000	3.912324e-008
1.101999999999989e+000	3.991046e-008
1.102999999999989e+000	4.071351e-008
1.103999999999989e+000	4.153269e-008
1.104999999999988e+000	4.236833e-008
1.105999999999988e+000	4.322077e-008
1.106999999999988e+000	4.409033e-008
1.107999999999988e+000	4.497737e-008
1.108999999999988e+000	4.588222e-008
1.109999999999988e+000	4.680525e-008
1.110999999999988e+000	4.774682e-008
1.111999999999988e+000	4.870731e-008
1.112999999999988e+000	4.968709e-008
1.113999999999987e+000	5.068655e-008
1.114999999999987e+000	5.170608e-008
1.115999999999987e+000	5.274608e-008
1.116999999999987e+000	5.380697e-008
1.117999999999987e+000	5.488917e-008
1.118999999999987e+000	5.599309e-008
1.119999999999987e+000	5.711917e-008
1.120999999999987e+000	5.826787e-008
1.121999999999987e+000	5.943962e-008
1.122999999999987e+000	6.063490e-008
1.123999999999986e+000	6.185416e-008
1.124999999999986e+000	6.309790e-008
1.125999999999986e+000	6.436660e-008
1.126999999999986e+000	6.566076e-008
1.127999999999986e+000	6.698090e-008
1.128999999999986e+000	6.832752e-008
1.129999999999986e+000	6.970117e-008
1.130999999999986e+000	7.110236e-008
1.131999999999986e+000	7.253168e-008
1.132999999999985e+000	7.398966e-008
1.133999999999985e+000	7.547690e-008
1.134999999999985e+000	7.699396e-008
1.135999999999985e+000	7.854145e-008
1.136999999999985e+000	8.011997e-008
1.137999999999985e+000	8.173015e-008
1.138999999999985e+000	8.337261e-008
1.139999999999985e+000	8.504801e-008
1.140999999999985e+000	8.675700e-008
1.141999999999984e+000	8.850024e-008
1.142999999999984e+000	9.027843e-008
1.143999999999984e+000	9.209227e-008
1.144999999999984e+000	9.394246e-008
1.145999999999984e+000	9.582973e-008
1.146999999999984e+000	9.775482e-008
1.147999999999984e+000	9.971848e-008
1.148999999999984e+000	1.017215e-007
1.149999999999984e+000	1.037646e-007
1.150999999999983e+000	1.058487e-007
1.151999999999983e+000	1.079745e-007
1.152999999999983e+000	1.101429e-007
1.153999999999983e+000	1.123547e-007
1.154999999999983e+000	1.146109e-007
1.155999999999983e+000	1.169122e-007
1.156999999999983e+000	1.192595e-007
1.157999999999983e+000	1.216539e-007
1.158999999999983e+000	1.240962e-007
1.159999999999982e+000	1.265874e-007
1.160999999999982e+000	1.291285e-007
1.161999999999982e+000	1.317204e-007
1.162999999999982e+000	1.343641e-007
1.163999999999982e+000	1.370608e-007
1.164999999999982e+000	1.398115e-007
1.165999999999982e+000	1.426171e-007
1.166999999999982e+000	1.454789e-007
1.167999999999982e+000	1.483980e-007
1.168999999999981e+000	1.513754e-007
1.169999999999981e+000	1.544123e-007
1.170999999999981e+000	1.575100e-007
1.171999999999981e+000	1.606697e-007
1.172999999999981e+000	1.638925e-007
1.173999999999981e+000	1.671797e-007
1.174999999999981e+000	1.705326e-007
1.175999999999981e+000	1.739525e-007
1.176999999999981e+000	1.774408e-007
1.177999999999980e+000	1.809988e-007
1.178999999999980e+000	1.846278e-007
1.179999999999980e+000	1.883294e-007
1.180999999999980e+000	1.921049e-007
1.181999999999980e+000	1.959558e-007
1.182999999999980e+000	1.998836e-007
1.183999999999980e+000	2.038898e-007
1.184999999999980e+000	2.079761e-007
1.185999999999980e+000	2.121439e-007
1.186999999999979e+000	2.163949e-007
1.187999999999979e+000	2.207307e-007
1.188999999999979e+000	2.251531e-007
