vin	V(be)	Ib(Q1)	Ic(Q1)	Ic(Q1)/Ib(Q1)
6.500000000000005e-001	6.324323e-001	7.985358e-005	2.176753e-004	2.725931e+000
6.550000000000005e-001	6.350181e-001	9.082726e-005	2.177153e-004	2.397026e+000
6.600000000000005e-001	6.374884e-001	1.023260e-004	2.177488e-004	2.127990e+000
6.650000000000005e-001	6.398484e-001	1.143258e-004	2.177770e-004	1.904880e+000
6.700000000000005e-001	6.421037e-001	1.268019e-004	2.178011e-004	1.717649e+000
6.750000000000005e-001	6.442597e-001	1.397292e-004	2.178218e-004	1.558885e+000
6.800000000000005e-001	6.463218e-001	1.530831e-004	2.178396e-004	1.423015e+000
6.850000000000005e-001	6.482955e-001	1.668393e-004	2.178551e-004	1.305778e+000
6.900000000000005e-001	6.501857e-001	1.809745e-004	2.178686e-004	1.203863e+000
6.950000000000005e-001	6.519974e-001	1.954664e-004	2.178804e-004	1.114669e+000
7.000000000000005e-001	6.537355e-001	2.102937e-004	2.178908e-004	1.036127e+000
7.050000000000005e-001	6.554041e-001	2.254362e-004	2.179001e-004	9.665708e-001
7.100000000000005e-001	6.570075e-001	2.408751e-004	2.179083e-004	9.046523e-001
7.150000000000005e-001	6.585497e-001	2.565926e-004	2.179155e-004	8.492665e-001
7.200000000000005e-001	6.600342e-001	2.725721e-004	2.179220e-004	7.995023e-001
7.250000000000005e-001	6.614645e-001	2.887980e-004	2.179279e-004	7.546030e-001
7.300000000000005e-001	6.628438e-001	3.052559e-004	2.179331e-004	7.139358e-001
7.350000000000005e-001	6.641750e-001	3.219322e-004	2.179378e-004	6.769681e-001
7.400000000000006e-001	6.654609e-001	3.388144e-004	2.179421e-004	6.432492e-001
7.450000000000006e-001	6.667041e-001	3.558907e-004	2.179459e-004	6.123955e-001
7.500000000000006e-001	6.679069e-001	3.731504e-004	2.179494e-004	5.840791e-001
7.550000000000006e-001	6.690717e-001	3.905832e-004	2.179525e-004	5.580180e-001
7.600000000000006e-001	6.702005e-001	4.081799e-004	2.179553e-004	5.339689e-001
7.650000000000006e-001	6.712951e-001	4.259314e-004	2.179579e-004	5.117207e-001
7.700000000000006e-001	6.723574e-001	4.438298e-004	2.179603e-004	4.910898e-001
7.750000000000006e-001	6.733892e-001	4.618674e-004	2.179624e-004	4.719156e-001
7.800000000000006e-001	6.743919e-001	4.800370e-004	2.179644e-004	4.540574e-001
7.850000000000006e-001	6.753669e-001	4.983321e-004	2.179661e-004	4.373913e-001
7.900000000000006e-001	6.763158e-001	5.167464e-004	2.179677e-004	4.218079e-001
7.950000000000006e-001	6.772397e-001	5.352742e-004	2.179692e-004	4.072104e-001
8.000000000000006e-001	6.781398e-001	5.539100e-004	2.179705e-004	3.935125e-001
8.050000000000006e-001	6.790173e-001	5.726487e-004	2.179717e-004	3.806377e-001
8.100000000000006e-001	6.798732e-001	5.914857e-004	2.179728e-004	3.685175e-001
8.150000000000006e-001	6.807084e-001	6.104165e-004	2.179738e-004	3.570903e-001
8.200000000000006e-001	6.815239e-001	6.294367e-004	2.179747e-004	3.463012e-001
8.250000000000006e-001	6.823206e-001	6.485427e-004	2.179755e-004	3.361005e-001
8.300000000000006e-001	6.830993e-001	6.677305e-004	2.179762e-004	3.264434e-001
8.350000000000006e-001	6.838607e-001	6.869968e-004	2.179769e-004	3.172895e-001
8.400000000000006e-001	6.846056e-001	7.063383e-004	2.179774e-004	3.086020e-001
8.450000000000006e-001	6.853346e-001	7.257519e-004	2.179780e-004	3.003477e-001
8.500000000000006e-001	6.860484e-001	7.452347e-004	2.179784e-004	2.924963e-001
8.550000000000007e-001	6.867476e-001	7.647839e-004	2.179788e-004	2.850201e-001
8.600000000000007e-001	6.874327e-001	7.843969e-004	2.179791e-004	2.778939e-001
8.650000000000007e-001	6.881043e-001	8.040713e-004	2.179794e-004	2.710947e-001
8.700000000000007e-001	6.887630e-001	8.238046e-004	2.179797e-004	2.646012e-001
8.750000000000007e-001	6.894091e-001	8.435949e-004	2.179799e-004	2.583940e-001
8.800000000000007e-001	6.900432e-001	8.634399e-004	2.179801e-004	2.524554e-001
8.850000000000007e-001	6.906657e-001	8.833376e-004	2.179802e-004	2.467688e-001
8.900000000000007e-001	6.912770e-001	9.032862e-004	2.179803e-004	2.413191e-001
8.950000000000007e-001	6.918775e-001	9.232839e-004	2.179803e-004	2.360924e-001
9.000000000000007e-001	6.924676e-001	9.433290e-004	2.179803e-004	2.310756e-001
9.050000000000007e-001	6.930476e-001	9.634199e-004	2.179803e-004	2.262568e-001
9.100000000000007e-001	6.936179e-001	9.835550e-004	2.179803e-004	2.216249e-001
9.150000000000007e-001	6.941788e-001	1.003733e-003	2.179802e-004	2.171696e-001
9.200000000000007e-001	6.947306e-001	1.023952e-003	2.179802e-004	2.128812e-001
9.250000000000007e-001	6.952735e-001	1.044211e-003	2.179801e-004	2.087509e-001
9.300000000000007e-001	6.958079e-001	1.064509e-003	2.179799e-004	2.047703e-001
9.350000000000007e-001	6.963341e-001	1.084845e-003	2.179798e-004	2.009318e-001
9.400000000000007e-001	6.968523e-001	1.105217e-003	2.179796e-004	1.972279e-001
9.450000000000007e-001	6.973627e-001	1.125624e-003	2.179794e-004	1.936521e-001
9.500000000000007e-001	6.978656e-001	1.146065e-003	2.179792e-004	1.901979e-001
9.550000000000007e-001	6.983612e-001	1.166540e-003	2.179790e-004	1.868594e-001
9.600000000000007e-001	6.988497e-001	1.187047e-003	2.179787e-004	1.836311e-001
9.650000000000008e-001	6.993313e-001	1.207585e-003	2.179785e-004	1.805078e-001
9.700000000000008e-001	6.998063e-001	1.228153e-003	2.179782e-004	1.774845e-001
9.750000000000008e-001	7.002747e-001	1.248751e-003	2.179779e-004	1.745567e-001
9.800000000000008e-001	7.007368e-001	1.269378e-003	2.179776e-004	1.717200e-001
9.850000000000008e-001	7.011928e-001	1.290033e-003	2.179773e-004	1.689704e-001
9.900000000000008e-001	7.016428e-001	1.310715e-003	2.179770e-004	1.663039e-001
9.950000000000008e-001	7.020870e-001	1.331423e-003	2.179766e-004	1.637171e-001
1.000000000000001e+000	7.025255e-001	1.352157e-003	2.179763e-004	1.612064e-001
1.005000000000001e+000	7.029585e-001	1.372916e-003	2.179759e-004	1.587686e-001
1.010000000000001e+000	7.033861e-001	1.393699e-003	2.179756e-004	1.564007e-001
1.015000000000000e+000	7.038085e-001	1.414506e-003	2.179752e-004	1.540998e-001
1.020000000000000e+000	7.042259e-001	1.435337e-003	2.179748e-004	1.518632e-001
1.025000000000000e+000	7.046382e-001	1.456190e-003	2.179744e-004	1.496882e-001
1.030000000000000e+000	7.050457e-001	1.477065e-003	2.179740e-004	1.475724e-001
1.035000000000000e+000	7.054485e-001	1.497961e-003	2.179736e-004	1.455135e-001
1.040000000000000e+000	7.058466e-001	1.518879e-003	2.179731e-004	1.435092e-001
1.045000000000000e+000	7.062403e-001	1.539817e-003	2.179727e-004	1.415575e-001
1.050000000000000e+000	7.066295e-001	1.560775e-003	2.179723e-004	1.396565e-001
1.055000000000000e+000	7.070145e-001	1.581752e-003	2.179718e-004	1.378040e-001
1.059999999999999e+000	7.073953e-001	1.602749e-003	2.179714e-004	1.359984e-001
1.064999999999999e+000	7.077719e-001	1.623764e-003	2.179709e-004	1.342380e-001
1.069999999999999e+000	7.081445e-001	1.644798e-003	2.179705e-004	1.325212e-001
1.074999999999999e+000	7.085133e-001	1.665849e-003	2.179700e-004	1.308462e-001
1.079999999999999e+000	7.088782e-001	1.686917e-003	2.179695e-004	1.292117e-001
1.084999999999999e+000	7.092394e-001	1.708003e-003	2.179690e-004	1.276163e-001
1.089999999999999e+000	7.095969e-001	1.729105e-003	2.179686e-004	1.260586e-001
1.094999999999999e+000	7.099507e-001	1.750224e-003	2.179681e-004	1.245373e-001
1.099999999999999e+000	7.103012e-001	1.771358e-003	2.179676e-004	1.230511e-001
1.104999999999998e+000	7.106481e-001	1.792509e-003	2.179671e-004	1.215989e-001
1.109999999999998e+000	7.109917e-001	1.813674e-003	2.179666e-004	1.201796e-001
1.114999999999998e+000	7.113321e-001	1.834854e-003	2.179661e-004	1.187920e-001
1.119999999999998e+000	7.116691e-001	1.856049e-003	2.179655e-004	1.174352e-001
