vin	V(be)	Ic(Q1)
7.350000000000005e-001	6.641750e-001	2.179378e-004
7.400000000000006e-001	6.654609e-001	2.179421e-004
7.450000000000006e-001	6.667041e-001	2.179459e-004
7.500000000000006e-001	6.679069e-001	2.179494e-004
7.550000000000006e-001	6.690717e-001	2.179525e-004
7.600000000000006e-001	6.702005e-001	2.179553e-004
7.650000000000006e-001	6.712951e-001	2.179579e-004
7.700000000000006e-001	6.723574e-001	2.179603e-004
7.750000000000006e-001	6.733892e-001	2.179624e-004
7.800000000000006e-001	6.743919e-001	2.179644e-004
7.850000000000006e-001	6.753669e-001	2.179661e-004
7.900000000000006e-001	6.763158e-001	2.179677e-004
7.950000000000006e-001	6.772397e-001	2.179692e-004
8.000000000000006e-001	6.781398e-001	2.179705e-004
8.050000000000006e-001	6.790173e-001	2.179717e-004
8.100000000000006e-001	6.798732e-001	2.179728e-004
8.150000000000006e-001	6.807084e-001	2.179738e-004
8.200000000000006e-001	6.815239e-001	2.179747e-004
8.250000000000006e-001	6.823206e-001	2.179755e-004
8.300000000000006e-001	6.830993e-001	2.179762e-004
8.350000000000006e-001	6.838607e-001	2.179769e-004
8.400000000000006e-001	6.846056e-001	2.179774e-004
8.450000000000006e-001	6.853346e-001	2.179780e-004
8.500000000000006e-001	6.860484e-001	2.179784e-004
8.550000000000007e-001	6.867476e-001	2.179788e-004
8.600000000000007e-001	6.874327e-001	2.179791e-004
8.650000000000007e-001	6.881043e-001	2.179794e-004
8.700000000000007e-001	6.887630e-001	2.179797e-004
8.750000000000007e-001	6.894091e-001	2.179799e-004
8.800000000000007e-001	6.900432e-001	2.179801e-004
8.850000000000007e-001	6.906657e-001	2.179802e-004
8.900000000000007e-001	6.912770e-001	2.179803e-004
8.950000000000007e-001	6.918775e-001	2.179803e-004
9.000000000000007e-001	6.924676e-001	2.179803e-004
9.050000000000007e-001	6.930476e-001	2.179803e-004
9.100000000000007e-001	6.936179e-001	2.179803e-004
9.150000000000007e-001	6.941788e-001	2.179802e-004
9.200000000000007e-001	6.947306e-001	2.179802e-004
9.250000000000007e-001	6.952735e-001	2.179801e-004
9.300000000000007e-001	6.958079e-001	2.179799e-004
9.350000000000007e-001	6.963341e-001	2.179798e-004
9.400000000000007e-001	6.968523e-001	2.179796e-004
9.450000000000007e-001	6.973627e-001	2.179794e-004
9.500000000000007e-001	6.978656e-001	2.179792e-004
9.550000000000007e-001	6.983612e-001	2.179790e-004
9.600000000000007e-001	6.988497e-001	2.179787e-004
9.650000000000008e-001	6.993313e-001	2.179785e-004
9.700000000000008e-001	6.998063e-001	2.179782e-004
9.750000000000008e-001	7.002747e-001	2.179779e-004
9.800000000000008e-001	7.007368e-001	2.179776e-004
9.850000000000008e-001	7.011928e-001	2.179773e-004
9.900000000000008e-001	7.016428e-001	2.179770e-004
9.950000000000008e-001	7.020870e-001	2.179766e-004
1.000000000000001e+000	7.025255e-001	2.179763e-004
1.005000000000001e+000	7.029585e-001	2.179759e-004
1.010000000000001e+000	7.033861e-001	2.179756e-004
1.015000000000000e+000	7.038085e-001	2.179752e-004
1.020000000000000e+000	7.042259e-001	2.179748e-004
1.025000000000000e+000	7.046382e-001	2.179744e-004
1.030000000000000e+000	7.050457e-001	2.179740e-004
1.035000000000000e+000	7.054485e-001	2.179736e-004
1.040000000000000e+000	7.058466e-001	2.179731e-004
1.045000000000000e+000	7.062403e-001	2.179727e-004
1.050000000000000e+000	7.066295e-001	2.179723e-004
1.055000000000000e+000	7.070145e-001	2.179718e-004
1.059999999999999e+000	7.073953e-001	2.179714e-004
1.064999999999999e+000	7.077719e-001	2.179709e-004
1.069999999999999e+000	7.081445e-001	2.179705e-004
1.074999999999999e+000	7.085133e-001	2.179700e-004
1.079999999999999e+000	7.088782e-001	2.179695e-004
1.084999999999999e+000	7.092394e-001	2.179690e-004
1.089999999999999e+000	7.095969e-001	2.179686e-004
1.094999999999999e+000	7.099507e-001	2.179681e-004
1.099999999999999e+000	7.103012e-001	2.179676e-004
1.104999999999998e+000	7.106481e-001	2.179671e-004
1.109999999999998e+000	7.109917e-001	2.179666e-004
1.114999999999998e+000	7.113321e-001	2.179661e-004
1.119999999999998e+000	7.116691e-001	2.179655e-004
1.124999999999998e+000	7.120031e-001	2.179650e-004
1.129999999999998e+000	7.123339e-001	2.179645e-004
1.134999999999998e+000	7.126617e-001	2.179640e-004
1.139999999999998e+000	7.129866e-001	2.179634e-004
1.144999999999998e+000	7.133085e-001	2.179629e-004
1.149999999999998e+000	7.136275e-001	2.179624e-004
1.154999999999997e+000	7.139438e-001	2.179618e-004
1.159999999999997e+000	7.142573e-001	2.179613e-004
1.164999999999997e+000	7.145681e-001	2.179608e-004
1.169999999999997e+000	7.148762e-001	2.179602e-004
1.174999999999997e+000	7.151818e-001	2.179597e-004
1.179999999999997e+000	7.154848e-001	2.179591e-004
1.184999999999997e+000	7.157853e-001	2.179586e-004
1.189999999999997e+000	7.160833e-001	2.179580e-004
1.194999999999997e+000	7.163790e-001	2.179574e-004
1.199999999999996e+000	7.166722e-001	2.179569e-004
1.204999999999996e+000	7.169632e-001	2.179563e-004
1.209999999999996e+000	7.172518e-001	2.179557e-004
1.214999999999996e+000	7.175382e-001	2.179552e-004
1.219999999999996e+000	7.178224e-001	2.179546e-004
1.224999999999996e+000	7.181044e-001	2.179540e-004
1.229999999999996e+000	7.183842e-001	2.179534e-004
1.234999999999996e+000	7.186620e-001	2.179529e-004
1.239999999999996e+000	7.189377e-001	2.179523e-004
1.244999999999995e+000	7.192113e-001	2.179517e-004
1.249999999999995e+000	7.194830e-001	2.179511e-004
1.254999999999995e+000	7.197527e-001	2.179505e-004
1.259999999999995e+000	7.200205e-001	2.179499e-004
1.264999999999995e+000	7.202863e-001	2.179494e-004
1.269999999999995e+000	7.205503e-001	2.179488e-004
1.274999999999995e+000	7.208124e-001	2.179482e-004
1.279999999999995e+000	7.210728e-001	2.179476e-004
1.284999999999995e+000	7.213314e-001	2.179470e-004
1.289999999999995e+000	7.215881e-001	2.179464e-004
1.294999999999994e+000	7.218432e-001	2.179458e-004
1.299999999999994e+000	7.220965e-001	2.179452e-004
1.304999999999994e+000	7.223482e-001	2.179446e-004
