v2	V(ds)	I(R1)
2.050000000000000e+000	3.096208e-001	1.641867e-003
2.060000000000000e+000	3.112110e-001	1.649801e-003
2.070000000000000e+000	3.128021e-001	1.657734e-003
2.080000000000000e+000	3.143941e-001	1.665666e-003
2.089999999999999e+000	3.159869e-001	1.673597e-003
2.099999999999999e+000	3.175806e-001	1.681528e-003
2.109999999999999e+000	3.191751e-001	1.689457e-003
2.119999999999999e+000	3.207705e-001	1.697386e-003
2.129999999999999e+000	3.223668e-001	1.705314e-003
2.139999999999998e+000	3.239640e-001	1.713242e-003
2.149999999999998e+000	3.255620e-001	1.721168e-003
2.159999999999998e+000	3.271610e-001	1.729093e-003
2.169999999999998e+000	3.287607e-001	1.737018e-003
2.179999999999998e+000	3.303614e-001	1.744942e-003
2.189999999999997e+000	3.319629e-001	1.752865e-003
2.199999999999997e+000	3.335654e-001	1.760787e-003
2.209999999999997e+000	3.351687e-001	1.768709e-003
2.219999999999997e+000	3.367729e-001	1.776629e-003
2.229999999999996e+000	3.383780e-001	1.784549e-003
2.239999999999996e+000	3.399839e-001	1.792468e-003
2.249999999999996e+000	3.415908e-001	1.800386e-003
2.259999999999996e+000	3.431985e-001	1.808303e-003
2.269999999999996e+000	3.448071e-001	1.816220e-003
2.279999999999995e+000	3.464166e-001	1.824135e-003
2.289999999999995e+000	3.480271e-001	1.832050e-003
2.299999999999995e+000	3.496383e-001	1.839964e-003
2.309999999999995e+000	3.512506e-001	1.847877e-003
2.319999999999995e+000	3.528637e-001	1.855789e-003
2.329999999999994e+000	3.544777e-001	1.863700e-003
2.339999999999994e+000	3.560926e-001	1.871611e-003
2.349999999999994e+000	3.577084e-001	1.879520e-003
2.359999999999994e+000	3.593251e-001	1.887429e-003
2.369999999999993e+000	3.609427e-001	1.895337e-003
2.379999999999993e+000	3.625612e-001	1.903244e-003
2.389999999999993e+000	3.641807e-001	1.911150e-003
2.399999999999993e+000	3.658010e-001	1.919056e-003
2.409999999999993e+000	3.674223e-001	1.926960e-003
2.419999999999992e+000	3.690444e-001	1.934864e-003
2.429999999999992e+000	3.706675e-001	1.942766e-003
2.439999999999992e+000	3.722915e-001	1.950668e-003
2.449999999999992e+000	3.739164e-001	1.958570e-003
2.459999999999992e+000	3.755423e-001	1.966469e-003
2.469999999999991e+000	3.771690e-001	1.974369e-003
2.479999999999991e+000	3.787967e-001	1.982267e-003
2.489999999999991e+000	3.804253e-001	1.990165e-003
2.499999999999991e+000	3.820548e-001	1.998062e-003
2.509999999999991e+000	3.836853e-001	2.005957e-003
2.519999999999990e+000	3.853167e-001	2.013852e-003
2.529999999999990e+000	3.869490e-001	2.021746e-003
2.539999999999990e+000	3.885823e-001	2.029639e-003
2.549999999999990e+000	3.902164e-001	2.037532e-003
2.559999999999989e+000	3.918516e-001	2.045423e-003
2.569999999999989e+000	3.934876e-001	2.053314e-003
2.579999999999989e+000	3.951246e-001	2.061203e-003
2.589999999999989e+000	3.967625e-001	2.069092e-003
2.599999999999989e+000	3.984014e-001	2.076980e-003
2.609999999999988e+000	4.000413e-001	2.084867e-003
2.619999999999988e+000	4.016820e-001	2.092753e-003
2.629999999999988e+000	4.033237e-001	2.100638e-003
2.639999999999988e+000	4.049664e-001	2.108522e-003
2.649999999999988e+000	4.066100e-001	2.116406e-003
