v1	Id(M1)
1.396999999999989e+000	1.294082e-005
1.397999999999989e+000	1.318649e-005
1.398999999999989e+000	1.343668e-005
1.399999999999989e+000	1.369147e-005
1.400999999999989e+000	1.395094e-005
1.401999999999989e+000	1.421517e-005
1.402999999999989e+000	1.448424e-005
1.403999999999989e+000	1.475823e-005
1.404999999999989e+000	1.503724e-005
1.405999999999988e+000	1.532135e-005
1.406999999999988e+000	1.561064e-005
1.407999999999988e+000	1.590521e-005
1.408999999999988e+000	1.620515e-005
1.409999999999988e+000	1.651055e-005
1.410999999999988e+000	1.682151e-005
1.411999999999988e+000	1.713811e-005
1.412999999999988e+000	1.746047e-005
1.413999999999988e+000	1.778866e-005
1.414999999999987e+000	1.812281e-005
1.415999999999987e+000	1.846300e-005
1.416999999999987e+000	1.880934e-005
1.417999999999987e+000	1.916194e-005
1.418999999999987e+000	1.952090e-005
1.419999999999987e+000	1.988633e-005
1.420999999999987e+000	2.025834e-005
1.421999999999987e+000	2.063704e-005
1.422999999999987e+000	2.102254e-005
1.423999999999986e+000	2.141496e-005
1.424999999999986e+000	2.181442e-005
1.425999999999986e+000	2.222103e-005
1.426999999999986e+000	2.263491e-005
1.427999999999986e+000	2.305619e-005
1.428999999999986e+000	2.348499e-005
1.429999999999986e+000	2.392143e-005
1.430999999999986e+000	2.436564e-005
1.431999999999986e+000	2.481775e-005
1.432999999999985e+000	2.527790e-005
1.433999999999985e+000	2.574621e-005
1.434999999999985e+000	2.622282e-005
1.435999999999985e+000	2.670787e-005
1.436999999999985e+000	2.720150e-005
1.437999999999985e+000	2.770384e-005
1.438999999999985e+000	2.821504e-005
1.439999999999985e+000	2.873525e-005
1.440999999999985e+000	2.926461e-005
1.441999999999984e+000	2.980327e-005
1.442999999999984e+000	3.035138e-005
1.443999999999984e+000	3.090911e-005
1.444999999999984e+000	3.147659e-005
1.445999999999984e+000	3.205400e-005
1.446999999999984e+000	3.264148e-005
1.447999999999984e+000	3.323922e-005
1.448999999999984e+000	3.384736e-005
1.449999999999984e+000	3.446607e-005
1.450999999999983e+000	3.509553e-005
1.451999999999983e+000	3.573591e-005
1.452999999999983e+000	3.638738e-005
1.453999999999983e+000	3.705011e-005
1.454999999999983e+000	3.772429e-005
1.455999999999983e+000	3.841010e-005
1.456999999999983e+000	3.910772e-005
1.457999999999983e+000	3.981734e-005
1.458999999999983e+000	4.053914e-005
1.459999999999982e+000	4.127332e-005
1.460999999999982e+000	4.202008e-005
1.461999999999982e+000	4.277960e-005
1.462999999999982e+000	4.355209e-005
1.463999999999982e+000	4.433774e-005
1.464999999999982e+000	4.513677e-005
1.465999999999982e+000	4.594938e-005
1.466999999999982e+000	4.677578e-005
1.467999999999982e+000	4.761618e-005
1.468999999999981e+000	4.847080e-005
1.469999999999981e+000	4.933985e-005
1.470999999999981e+000	5.022357e-005
1.471999999999981e+000	5.112216e-005
1.472999999999981e+000	5.203585e-005
1.473999999999981e+000	5.296488e-005
1.474999999999981e+000	5.390948e-005
1.475999999999981e+000	5.486987e-005
1.476999999999981e+000	5.584631e-005
1.477999999999980e+000	5.683903e-005
1.478999999999980e+000	5.784827e-005
1.479999999999980e+000	5.887428e-005
1.480999999999980e+000	5.991731e-005
1.481999999999980e+000	6.097762e-005
1.482999999999980e+000	6.205546e-005
1.483999999999980e+000	6.315108e-005
1.484999999999980e+000	6.426475e-005
1.485999999999980e+000	6.539674e-005
1.486999999999979e+000	6.654731e-005
1.487999999999979e+000	6.771673e-005
1.488999999999979e+000	6.890528e-005
1.489999999999979e+000	7.011323e-005
1.490999999999979e+000	7.134087e-005
1.491999999999979e+000	7.258849e-005
1.492999999999979e+000	7.385636e-005
1.493999999999979e+000	7.514478e-005
1.494999999999979e+000	7.645405e-005
1.495999999999979e+000	7.778445e-005
1.496999999999978e+000	7.913628e-005
1.497999999999978e+000	8.050987e-005
1.498999999999978e+000	8.190550e-005
1.499999999999978e+000	8.332350e-005
1.500999999999978e+000	8.476416e-005
1.501999999999978e+000	8.622782e-005
1.502999999999978e+000	8.771479e-005
1.503999999999978e+000	8.922540e-005
1.504999999999978e+000	9.075996e-005
1.505999999999977e+000	9.231882e-005
1.506999999999977e+000	9.390231e-005
1.507999999999977e+000	9.551076e-005
1.508999999999977e+000	9.714451e-005
1.509999999999977e+000	9.880392e-005
1.510999999999977e+000	1.004893e-004
1.511999999999977e+000	1.022011e-004
1.512999999999977e+000	1.039395e-004
1.513999999999977e+000	1.057051e-004
1.514999999999976e+000	1.074980e-004
1.515999999999976e+000	1.093187e-004
1.516999999999976e+000	1.111676e-004
1.517999999999976e+000	1.130451e-004
1.518999999999976e+000	1.149514e-004
1.519999999999976e+000	1.168870e-004
1.520999999999976e+000	1.188523e-004
1.521999999999976e+000	1.208476e-004
1.522999999999976e+000	1.228734e-004
1.523999999999975e+000	1.249301e-004
1.524999999999975e+000	1.270179e-004
1.525999999999975e+000	1.291375e-004
1.526999999999975e+000	1.312890e-004
1.527999999999975e+000	1.334730e-004
1.528999999999975e+000	1.356899e-004
1.529999999999975e+000	1.379400e-004
1.530999999999975e+000	1.402239e-004
1.531999999999975e+000	1.425418e-004
1.532999999999974e+000	1.448944e-004
1.533999999999974e+000	1.472819e-004
1.534999999999974e+000	1.497047e-004
1.535999999999974e+000	1.521635e-004
1.536999999999974e+000	1.546585e-004
1.537999999999974e+000	1.571903e-004
1.538999999999974e+000	1.597592e-004
1.539999999999974e+000	1.623657e-004
1.540999999999974e+000	1.650104e-004
1.541999999999973e+000	1.676935e-004
1.542999999999973e+000	1.704157e-004
1.543999999999973e+000	1.731773e-004
1.544999999999973e+000	1.759788e-004
1.545999999999973e+000	1.788208e-004
1.546999999999973e+000	1.817036e-004
1.547999999999973e+000	1.846278e-004
1.548999999999973e+000	1.875938e-004
1.549999999999973e+000	1.906021e-004
1.550999999999972e+000	1.936532e-004
1.551999999999972e+000	1.967477e-004
1.552999999999972e+000	1.998859e-004
1.553999999999972e+000	2.030684e-004
1.554999999999972e+000	2.062958e-004
1.555999999999972e+000	2.095683e-004
1.556999999999972e+000	2.128868e-004
1.557999999999972e+000	2.162515e-004
1.558999999999972e+000	2.196630e-004
1.559999999999971e+000	2.231219e-004
1.560999999999971e+000	2.266287e-004
1.561999999999971e+000	2.301839e-004
1.562999999999971e+000	2.337879e-004
1.563999999999971e+000	2.374415e-004
1.564999999999971e+000	2.411450e-004
1.565999999999971e+000	2.448990e-004
1.566999999999971e+000	2.487040e-004
1.567999999999971e+000	2.525607e-004
1.568999999999970e+000	2.564695e-004
1.569999999999970e+000	2.604310e-004
1.570999999999970e+000	2.644457e-004
1.571999999999970e+000	2.685142e-004
1.572999999999970e+000	2.726370e-004
1.573999999999970e+000	2.768148e-004
1.574999999999970e+000	2.810480e-004
1.575999999999970e+000	2.853372e-004
1.576999999999970e+000	2.896830e-004
1.577999999999969e+000	2.940860e-004
1.578999999999969e+000	2.985467e-004
1.579999999999969e+000	3.030657e-004
1.580999999999969e+000	3.076436e-004
1.581999999999969e+000	3.122809e-004
1.582999999999969e+000	3.169783e-004
1.583999999999969e+000	3.217363e-004
1.584999999999969e+000	3.265555e-004
1.585999999999969e+000	3.314364e-004
1.586999999999968e+000	3.363798e-004
1.587999999999968e+000	3.413861e-004
1.588999999999968e+000	3.464560e-004
1.589999999999968e+000	3.515901e-004
1.590999999999968e+000	3.567889e-004
1.591999999999968e+000	3.620531e-004
1.592999999999968e+000	3.673832e-004
1.593999999999968e+000	3.727799e-004
1.594999999999968e+000	3.782437e-004
1.595999999999967e+000	3.837754e-004
1.596999999999967e+000	3.893754e-004
1.597999999999967e+000	3.950444e-004
1.598999999999967e+000	4.007829e-004
1.599999999999967e+000	4.065917e-004
1.600999999999967e+000	4.124714e-004
1.601999999999967e+000	4.184225e-004
1.602999999999967e+000	4.244456e-004
1.603999999999967e+000	4.305413e-004
1.604999999999967e+000	4.367105e-004
1.605999999999966e+000	4.429535e-004
1.606999999999966e+000	4.492710e-004
1.607999999999966e+000	4.556637e-004
1.608999999999966e+000	4.621322e-004
1.609999999999966e+000	4.686770e-004
1.610999999999966e+000	4.752989e-004
1.611999999999966e+000	4.819985e-004
1.612999999999966e+000	4.887764e-004
1.613999999999966e+000	4.956331e-004
1.614999999999965e+000	5.025694e-004
1.615999999999965e+000	5.095858e-004
1.616999999999965e+000	5.166831e-004
1.617999999999965e+000	5.238617e-004
1.618999999999965e+000	5.311225e-004
1.619999999999965e+000	5.384659e-004
1.620999999999965e+000	5.458926e-004
1.621999999999965e+000	5.534032e-004
1.622999999999965e+000	5.609985e-004
1.623999999999964e+000	5.686789e-004
1.624999999999964e+000	5.764451e-004
1.625999999999964e+000	5.842979e-004
1.626999999999964e+000	5.922377e-004
1.627999999999964e+000	6.002652e-004
1.628999999999964e+000	6.083811e-004
1.629999999999964e+000	6.165860e-004
1.630999999999964e+000	6.248805e-004
1.631999999999964e+000	6.332652e-004
