time	V(be)	V(ce)	Ib(Q1)	Ic(Q1)	Ie(Q1)
1.231071992655052e-004	6.137620e-001	1.101604e+000	1.397607e-006	3.898387e-004	-3.912363e-004
1.431071992655052e-004	6.150089e-001	9.245623e-001	1.462575e-006	4.075429e-004	-4.090054e-004
1.531071992655052e-004	6.155647e-001	8.432677e-001	1.492120e-006	4.156723e-004	-4.171644e-004
1.631071992655052e-004	6.160726e-001	7.676866e-001	1.519312e-006	4.232304e-004	-4.247497e-004
1.731071992655052e-004	6.165305e-001	6.984561e-001	1.543863e-006	4.301535e-004	-4.316974e-004
1.831071992655052e-004	6.169366e-001	6.361738e-001	1.565496e-006	4.363818e-004	-4.379473e-004
1.931071992655052e-004	6.172895e-001	5.813885e-001	1.583949e-006	4.418605e-004	-4.434444e-004
2.031071992655052e-004	6.175877e-001	5.345912e-001	1.598983e-006	4.465404e-004	-4.481394e-004
2.131071992655052e-004	6.178302e-001	4.962081e-001	1.610398e-006	4.503789e-004	-4.519893e-004
2.231071992655052e-004	6.180159e-001	4.665935e-001	1.618045e-006	4.533406e-004	-4.549587e-004
2.331071992655052e-004	6.181441e-001	4.460249e-001	1.621851e-006	4.553978e-004	-4.570197e-004
2.431071992655052e-004	6.182144e-001	4.346986e-001	1.621834e-006	4.565307e-004	-4.581525e-004
2.531071992655052e-004	6.182263e-001	4.327273e-001	1.618104e-006	4.567279e-004	-4.583460e-004
2.631071992655052e-004	6.181800e-001	4.401366e-001	1.610846e-006	4.559869e-004	-4.575978e-004
2.731071992655052e-004	6.180755e-001	4.568637e-001	1.600272e-006	4.543141e-004	-4.559143e-004
2.831071992655052e-004	6.179131e-001	4.827563e-001	1.586583e-006	4.517245e-004	-4.533111e-004
2.931071992655053e-004	6.176935e-001	5.175743e-001	1.569953e-006	4.482424e-004	-4.498124e-004
3.031071992655053e-004	6.174176e-001	5.609940e-001	1.550534e-006	4.439001e-004	-4.454507e-004
3.131071992655053e-004	6.170864e-001	6.126146e-001	1.528473e-006	4.387379e-004	-4.402664e-004
3.231071992655054e-004	6.167011e-001	6.719658e-001	1.503931e-006	4.328026e-004	-4.343065e-004
3.331071992655054e-004	6.162633e-001	7.385159e-001	1.477085e-006	4.261475e-004	-4.276246e-004
3.431071992655054e-004	6.157748e-001	8.116810e-001	1.448136e-006	4.188310e-004	-4.202791e-004
3.531071992655054e-004	6.152373e-001	8.908342e-001	1.417304e-006	4.109156e-004	-4.123329e-004
3.731071992655055e-004	6.140243e-001	1.064441e+000	1.350938e-006	3.935550e-004	-3.949059e-004
3.931071992655055e-004	6.126432e-001	1.253832e+000	1.279964e-006	3.746160e-004	-3.758959e-004
4.731071992655057e-004	6.059028e-001	2.062186e+000	9.878873e-007	2.937809e-004	-2.947688e-004
5.131071992655059e-004	6.021786e-001	2.435193e+000	8.577917e-007	2.564804e-004	-2.573382e-004
5.431071992655059e-004	5.994206e-001	2.681927e+000	7.732505e-007	2.318071e-004	-2.325804e-004
5.731071992655060e-004	5.968019e-001	2.895086e+000	7.012517e-007	2.104914e-004	-2.111926e-004
6.031071992655061e-004	5.944157e-001	3.072836e+000	6.420768e-007	1.927165e-004	-1.933585e-004
6.331071992655062e-004	5.923471e-001	3.215157e+000	5.954612e-007	1.784844e-004	-1.790799e-004
6.631071992655062e-004	5.906699e-001	3.323056e+000	5.608713e-007	1.676947e-004	-1.682555e-004
6.931071992655063e-004	5.894438e-001	3.397914e+000	5.377184e-007	1.602088e-004	-1.607466e-004
7.231071992655064e-004	5.887126e-001	3.441014e+000	5.255113e-007	1.558990e-004	-1.564245e-004
7.531071992655065e-004	5.885024e-001	3.453210e+000	5.239521e-007	1.546793e-004	-1.552033e-004
7.831071992655066e-004	5.888206e-001	3.434764e+000	5.329856e-007	1.565239e-004	-1.570569e-004
8.131071992655066e-004	5.896559e-001	3.385290e+000	5.528095e-007	1.614713e-004	-1.620241e-004
8.431071992655067e-004	5.909783e-001	3.303830e+000	5.838458e-007	1.696172e-004	-1.702011e-004
8.731071992655068e-004	5.927407e-001	3.189059e+000	6.266690e-007	1.810943e-004	-1.817209e-004
9.031071992655069e-004	5.948802e-001	3.039632e+000	6.818829e-007	1.960369e-004	-1.967188e-004
9.331071992655070e-004	5.973206e-001	2.854702e+000	7.499349e-007	2.145298e-004	-2.152798e-004
9.631071992655070e-004	5.999746e-001	2.634598e+000	8.308650e-007	2.365401e-004	-2.373710e-004
9.931071992655071e-004	6.027480e-001	2.381629e+000	9.239954e-007	2.618368e-004	-2.627608e-004
1.033107199265507e-003	6.064608e-001	2.002527e+000	1.063968e-006	2.997469e-004	-3.008108e-004
1.103107199265507e-003	6.123512e-001	1.293296e+000	1.326769e-006	3.706697e-004	-3.719964e-004
1.123107199265507e-003	6.137620e-001	1.101604e+000	1.397607e-006	3.898387e-004	-3.912363e-004
1.143107199265508e-003	6.150089e-001	9.245623e-001	1.462575e-006	4.075429e-004	-4.090054e-004
1.153107199265508e-003	6.155647e-001	8.432677e-001	1.492119e-006	4.156723e-004	-4.171644e-004
1.163107199265508e-003	6.160726e-001	7.676866e-001	1.519312e-006	4.232304e-004	-4.247497e-004
1.173107199265508e-003	6.165305e-001	6.984561e-001	1.543863e-006	4.301535e-004	-4.316973e-004
1.183107199265508e-003	6.169366e-001	6.361738e-001	1.565496e-006	4.363818e-004	-4.379473e-004
1.193107199265508e-003	6.172895e-001	5.813884e-001	1.583949e-006	4.418605e-004	-4.434444e-004
1.203107199265508e-003	6.175877e-001	5.345911e-001	1.598983e-006	4.465404e-004	-4.481394e-004
1.213107199265508e-003	6.178302e-001	4.962081e-001	1.610398e-006	4.503789e-004	-4.519893e-004
1.223107199265508e-003	6.180159e-001	4.665935e-001	1.618045e-006	4.533406e-004	-4.549587e-004
