freq    vd-db   vd-ph   id-db   id-ph
2.63026799189538e+001   -4.97381629597858e-003    -3.90006405551774e-004    -1.45101108999288e+002    6.80850084131033e-001
2.69153480392691e+001   -4.97381630546335e-003    -3.99090821745446e-004    -1.45101080068322e+002    6.96707571970576e-001
2.75422870333816e+001   -4.97381631539486e-003    -4.08386841175371e-004    -1.45101049775528e+002    7.12934317581251e-001
2.81838293126445e+001   -4.97381632579144e-003    -4.17899392714097e-004    -1.45101018056744e+002    7.29538914173962e-001
2.88403150312660e+001   -4.97381633668107e-003    -4.27633520042361e-004    -1.45100984814247e+002    7.46530151933622e-001
2.95120922666638e+001   -4.97381634808209e-003    -4.37594384323316e-004    -1.45100950038771e+002    7.63917033070414e-001
3.01995172040201e+001   -4.97381636002152e-003    -4.47787266939050e-004    -1.45100913626115e+002    7.81708760949520e-001
3.09029543251359e+001   -4.97381637252250e-003    -4.58217572290842e-004    -1.45100875468610e+002    7.99914752436507e-001
3.16227766016838e+001   -4.97381638561302e-003    -4.68890830664647e-004    -1.45100835546575e+002    8.18544651429378e-001
3.23593656929628e+001   -4.97381639932011e-003    -4.79812701163331e-004    -1.45100793714365e+002    8.37608314290307e-001
3.31131121482591e+001   -4.97381641367559e-003    -4.90988974707195e-004    -1.45100749944514e+002    8.57115837745807e-001
3.38844156139202e+001   -4.97381642870649e-003    -5.02425577104405e-004    -1.45100704083226e+002    8.77077540879365e-001
3.46736850452531e+001   -4.97381644444271e-003    -5.14128572192931e-004    -1.45100656063960e+002    8.97503991194199e-001
3.54813389233575e+001   -4.97381646092286e-003    -5.26104165055670e-004    -1.45100605785063e+002    9.18405998278378e-001
3.63078054770101e+001   -4.97381647818070e-003    -5.38358705310471e-004    -1.45100553140097e+002    9.39794622378932e-001
3.71535229097172e+001   -4.97381649625097e-003    -5.50898690476781e-004    -1.45100498017613e+002    9.61681180158004e-001
3.80189396320561e+001   -4.97381651517323e-003    -5.63730769420715e-004    -1.45100440300914e+002    9.84077250594187e-001
3.89045144994280e+001   -4.97381653498607e-003    -5.76861745880378e-004    -1.45100379867812e+002    1.00699468097313e+000
