vin	V(gs)	Id(M1)
-4.400000000000093e-001	-4.400000e-001	1.530122e-003
-4.300000000000093e-001	-4.300000e-001	1.547100e-003
-4.200000000000093e-001	-4.200000e-001	1.564147e-003
-4.100000000000093e-001	-4.100000e-001	1.581264e-003
-4.000000000000092e-001	-4.000000e-001	1.598449e-003
-3.900000000000092e-001	-3.900000e-001	1.615703e-003
-3.800000000000092e-001	-3.800000e-001	1.633026e-003
-3.700000000000092e-001	-3.700000e-001	1.650417e-003
-3.600000000000092e-001	-3.600000e-001	1.667876e-003
-3.500000000000092e-001	-3.500000e-001	1.685402e-003
-3.400000000000092e-001	-3.400000e-001	1.702996e-003
-3.300000000000092e-001	-3.300000e-001	1.720657e-003
-3.200000000000092e-001	-3.200000e-001	1.738384e-003
-3.100000000000092e-001	-3.100000e-001	1.756178e-003
-3.000000000000092e-001	-3.000000e-001	1.774038e-003
-2.900000000000091e-001	-2.900000e-001	1.791965e-003
-2.800000000000091e-001	-2.800000e-001	1.809957e-003
-2.700000000000091e-001	-2.700000e-001	1.828014e-003
-2.600000000000091e-001	-2.600000e-001	1.846137e-003
-2.500000000000091e-001	-2.500000e-001	1.864324e-003
-2.400000000000091e-001	-2.400000e-001	1.882576e-003
-2.300000000000091e-001	-2.300000e-001	1.900893e-003
-2.200000000000091e-001	-2.200000e-001	1.919273e-003
-2.100000000000091e-001	-2.100000e-001	1.937718e-003
-2.000000000000091e-001	-2.000000e-001	1.956226e-003
-1.900000000000091e-001	-1.900000e-001	1.974798e-003
-1.800000000000090e-001	-1.800000e-001	1.993432e-003
-1.700000000000090e-001	-1.700000e-001	2.012130e-003
-1.600000000000090e-001	-1.600000e-001	2.030890e-003
-1.500000000000090e-001	-1.500000e-001	2.049713e-003
-1.400000000000090e-001	-1.400000e-001	2.068598e-003
-1.300000000000090e-001	-1.300000e-001	2.087545e-003
-1.200000000000090e-001	-1.200000e-001	2.106553e-003
-1.100000000000090e-001	-1.100000e-001	2.125623e-003
-1.000000000000090e-001	-1.000000e-001	2.144754e-003
-9.000000000000902e-002	-9.000000e-002	2.163946e-003
-8.000000000000902e-002	-8.000000e-002	2.183199e-003
-7.000000000000903e-002	-7.000000e-002	2.202512e-003
-6.000000000000903e-002	-6.000000e-002	2.221886e-003
-5.000000000000902e-002	-5.000000e-002	2.241319e-003
-4.000000000000902e-002	-4.000000e-002	2.260813e-003
-3.000000000000902e-002	-3.000000e-002	2.280366e-003
-2.000000000000902e-002	-2.000000e-002	2.299978e-003
-1.000000000000902e-002	-1.000000e-002	2.319650e-003
-9.017092628127443e-015	-9.017093e-015	2.339380e-003
9.999999999990983e-003	1.000000e-002	2.359169e-003
1.999999999999098e-002	2.000000e-002	2.379017e-003
2.999999999999099e-002	3.000000e-002	2.398923e-003
3.999999999999099e-002	4.000000e-002	2.418887e-003
4.999999999999099e-002	5.000000e-002	2.438909e-003
5.999999999999099e-002	6.000000e-002	2.458988e-003
6.999999999999099e-002	7.000000e-002	2.479125e-003
7.999999999999098e-002	8.000000e-002	2.499319e-003
8.999999999999098e-002	9.000000e-002	2.519570e-003
9.999999999999097e-002	1.000000e-001	2.539878e-003
1.099999999999910e-001	1.100000e-001	2.560242e-003
1.199999999999910e-001	1.200000e-001	2.580663e-003
1.299999999999910e-001	1.300000e-001	2.601139e-003
1.399999999999910e-001	1.400000e-001	2.621672e-003
1.499999999999910e-001	1.500000e-001	2.642261e-003
1.599999999999910e-001	1.600000e-001	2.662905e-003
1.699999999999910e-001	1.700000e-001	2.683604e-003
1.799999999999910e-001	1.800000e-001	2.704359e-003
1.899999999999910e-001	1.900000e-001	2.725169e-003
1.999999999999910e-001	2.000000e-001	2.746033e-003
2.099999999999910e-001	2.100000e-001	2.766952e-003
