vin	V(gs)	Id(M1)
-2.465949999999979e+000	-2.465950e+000	2.130909e-011
-2.465799999999979e+000	-2.465800e+000	2.131455e-011
-2.465649999999978e+000	-2.465650e+000	2.132006e-011
-2.465499999999978e+000	-2.465500e+000	2.132552e-011
-2.465349999999978e+000	-2.465350e+000	2.133103e-011
-2.465199999999978e+000	-2.465200e+000	2.133658e-011
-2.465049999999978e+000	-2.465050e+000	2.134217e-011
-2.464899999999978e+000	-2.464900e+000	2.134772e-011
-2.464749999999978e+000	-2.464750e+000	2.135336e-011
-2.464599999999978e+000	-2.464600e+000	2.135900e-011
-2.464449999999978e+000	-2.464450e+000	2.136464e-011
-2.464299999999978e+000	-2.464300e+000	2.137037e-011
-2.464149999999977e+000	-2.464150e+000	2.137606e-011
-2.463999999999977e+000	-2.464000e+000	2.138179e-011
-2.463849999999977e+000	-2.463850e+000	2.138756e-011
-2.463699999999977e+000	-2.463700e+000	2.139333e-011
-2.463549999999977e+000	-2.463550e+000	2.139915e-011
-2.463399999999977e+000	-2.463400e+000	2.140492e-011
-2.463249999999977e+000	-2.463250e+000	2.141078e-011
-2.463099999999977e+000	-2.463100e+000	2.141669e-011
-2.462949999999977e+000	-2.462950e+000	2.142264e-011
-2.462799999999977e+000	-2.462800e+000	2.142855e-011
-2.462649999999977e+000	-2.462650e+000	2.143450e-011
-2.462499999999976e+000	-2.462500e+000	2.144045e-011
-2.462349999999976e+000	-2.462350e+000	2.144645e-011
-2.462199999999976e+000	-2.462200e+000	2.145248e-011
-2.462049999999976e+000	-2.462050e+000	2.145857e-011
-2.461899999999976e+000	-2.461900e+000	2.146461e-011
-2.461749999999976e+000	-2.461750e+000	2.147074e-011
-2.461599999999976e+000	-2.461600e+000	2.147687e-011
-2.461449999999976e+000	-2.461450e+000	2.148299e-011
-2.461299999999976e+000	-2.461300e+000	2.148917e-011
-2.461149999999976e+000	-2.461150e+000	2.149543e-011
-2.460999999999975e+000	-2.461000e+000	2.150164e-011
-2.460849999999975e+000	-2.460850e+000	2.150791e-011
-2.460699999999975e+000	-2.460700e+000	2.151421e-011
-2.460549999999975e+000	-2.460550e+000	2.152052e-011
-2.460399999999975e+000	-2.460400e+000	2.152687e-011
-2.460249999999975e+000	-2.460250e+000	2.153322e-011
-2.460099999999975e+000	-2.460100e+000	2.153957e-011
-2.459949999999975e+000	-2.459950e+000	2.154601e-011
-2.459799999999975e+000	-2.459800e+000	2.155249e-011
-2.459649999999975e+000	-2.459650e+000	2.155893e-011
-2.459499999999975e+000	-2.459500e+000	2.156546e-011
-2.459349999999974e+000	-2.459350e+000	2.157199e-011
-2.459199999999974e+000	-2.459200e+000	2.157852e-011
-2.459049999999974e+000	-2.459050e+000	2.158513e-011
-2.458899999999974e+000	-2.458900e+000	2.159171e-011
-2.458749999999974e+000	-2.458750e+000	2.159837e-011
-2.458599999999974e+000	-2.458600e+000	2.160503e-011
-2.458449999999974e+000	-2.458450e+000	2.161169e-011
-2.458299999999974e+000	-2.458300e+000	2.161844e-011
-2.458149999999974e+000	-2.458150e+000	2.162523e-011
-2.457999999999974e+000	-2.458000e+000	2.163198e-011
-2.457849999999973e+000	-2.457850e+000	2.163878e-011
-2.457699999999973e+000	-2.457700e+000	2.164562e-011
-2.457549999999973e+000	-2.457550e+000	2.165250e-011
-2.457399999999973e+000	-2.457400e+000	2.165939e-011
-2.457249999999973e+000	-2.457250e+000	2.166631e-011
-2.457099999999973e+000	-2.457100e+000	2.167324e-011
-2.456949999999973e+000	-2.456950e+000	2.168026e-011
-2.456799999999973e+000	-2.456800e+000	2.168727e-011
-2.456649999999973e+000	-2.456650e+000	2.169425e-011
-2.456499999999973e+000	-2.456500e+000	2.170135e-011
-2.456349999999973e+000	-2.456350e+000	2.170841e-011
-2.456199999999972e+000	-2.456200e+000	2.171556e-011
-2.456049999999972e+000	-2.456050e+000	2.172271e-011
-2.455899999999972e+000	-2.455900e+000	2.172991e-011
-2.455749999999972e+000	-2.455750e+000	2.173715e-011
-2.455599999999972e+000	-2.455600e+000	2.174443e-011
-2.455449999999972e+000	-2.455450e+000	2.175167e-011
-2.455299999999972e+000	-2.455300e+000	2.175899e-011
-2.455149999999972e+000	-2.455150e+000	2.176632e-011
-2.454999999999972e+000	-2.455000e+000	2.177369e-011
-2.454849999999972e+000	-2.454850e+000	2.178111e-011
-2.454699999999972e+000	-2.454700e+000	2.178853e-011
-2.454549999999971e+000	-2.454550e+000	2.179603e-011
-2.454399999999971e+000	-2.454400e+000	2.180349e-011
-2.454249999999971e+000	-2.454250e+000	2.181100e-011
-2.454099999999971e+000	-2.454100e+000	2.181859e-011
-2.453949999999971e+000	-2.453950e+000	2.182618e-011
-2.453799999999971e+000	-2.453800e+000	2.183382e-011
-2.453649999999971e+000	-2.453650e+000	2.184146e-011
-2.453499999999971e+000	-2.453500e+000	2.184910e-011
-2.453349999999971e+000	-2.453350e+000	2.185683e-011
-2.453199999999971e+000	-2.453200e+000	2.186460e-011
-2.453049999999970e+000	-2.453050e+000	2.187242e-011
-2.452899999999970e+000	-2.452900e+000	2.188023e-011
-2.452749999999970e+000	-2.452750e+000	2.188805e-011
-2.452599999999970e+000	-2.452600e+000	2.189595e-011
-2.452449999999970e+000	-2.452450e+000	2.190386e-011
-2.452299999999970e+000	-2.452300e+000	2.191176e-011
-2.452149999999970e+000	-2.452150e+000	2.191975e-011
-2.451999999999970e+000	-2.452000e+000	2.192779e-011
-2.451849999999970e+000	-2.451850e+000	2.193583e-011
-2.451699999999970e+000	-2.451700e+000	2.194391e-011
-2.451549999999970e+000	-2.451550e+000	2.195204e-011
-2.451399999999969e+000	-2.451400e+000	2.196017e-011
-2.451249999999969e+000	-2.451250e+000	2.196834e-011
-2.451099999999969e+000	-2.451100e+000	2.197660e-011
-2.450949999999969e+000	-2.450950e+000	2.198486e-011
-2.450799999999969e+000	-2.450800e+000	2.199316e-011
-2.450649999999969e+000	-2.450650e+000	2.200147e-011
-2.450499999999969e+000	-2.450500e+000	2.200982e-011
-2.450349999999969e+000	-2.450350e+000	2.201817e-011
-2.450199999999969e+000	-2.450200e+000	2.202665e-011
-2.450049999999969e+000	-2.450050e+000	2.203509e-011
-2.449899999999968e+000	-2.449900e+000	2.204366e-011
-2.449749999999968e+000	-2.449750e+000	2.205214e-011
-2.449599999999968e+000	-2.449600e+000	2.206071e-011
-2.449449999999968e+000	-2.449450e+000	2.206928e-011
-2.449299999999968e+000	-2.449300e+000	2.207794e-011
-2.449149999999968e+000	-2.449150e+000	2.208664e-011
-2.448999999999968e+000	-2.449000e+000	2.209535e-011
-2.448849999999968e+000	-2.448850e+000	2.210410e-011
-2.448699999999968e+000	-2.448700e+000	2.211289e-011
-2.448549999999968e+000	-2.448550e+000	2.212173e-011
-2.448399999999968e+000	-2.448400e+000	2.213056e-011
-2.448249999999967e+000	-2.448250e+000	2.213949e-011
-2.448099999999967e+000	-2.448100e+000	2.214842e-011
-2.447949999999967e+000	-2.447950e+000	2.215739e-011
-2.447799999999967e+000	-2.447800e+000	2.216640e-011
-2.447649999999967e+000	-2.447650e+000	2.217546e-011
-2.447499999999967e+000	-2.447500e+000	2.218456e-011
-2.447349999999967e+000	-2.447350e+000	2.219367e-011
-2.447199999999967e+000	-2.447200e+000	2.220282e-011
-2.447049999999967e+000	-2.447050e+000	2.221206e-011
-2.446899999999967e+000	-2.446900e+000	2.222129e-011
-2.446749999999967e+000	-2.446750e+000	2.223057e-011
-2.446599999999966e+000	-2.446600e+000	2.223990e-011
-2.446449999999966e+000	-2.446450e+000	2.224927e-011
-2.446299999999966e+000	-2.446300e+000	2.225859e-011
-2.446149999999966e+000	-2.446150e+000	2.226805e-011
-2.445999999999966e+000	-2.446000e+000	2.227751e-011
-2.445849999999966e+000	-2.445850e+000	2.228702e-011
-2.445699999999966e+000	-2.445700e+000	2.229665e-011
