v2	V(ds)	I(R1)
1.419999999999997e+001	6.849106e+000	1.386961e-003
1.429999999999997e+001	6.949106e+000	1.386961e-003
1.439999999999997e+001	7.049107e+000	1.386961e-003
1.449999999999996e+001	7.149107e+000	1.386961e-003
1.459999999999996e+001	7.249106e+000	1.386961e-003
1.469999999999996e+001	7.349106e+000	1.386961e-003
1.479999999999996e+001	7.449106e+000	1.386961e-003
1.489999999999996e+001	7.549107e+000	1.386961e-003
1.499999999999996e+001	7.649107e+000	1.386961e-003
1.509999999999996e+001	7.749106e+000	1.386961e-003
1.519999999999996e+001	7.849106e+000	1.386961e-003
1.529999999999996e+001	7.949106e+000	1.386961e-003
1.539999999999996e+001	8.049107e+000	1.386961e-003
1.549999999999996e+001	8.149106e+000	1.386961e-003
1.559999999999996e+001	8.249106e+000	1.386961e-003
1.569999999999996e+001	8.349107e+000	1.386961e-003
1.579999999999996e+001	8.449106e+000	1.386961e-003
1.589999999999996e+001	8.549107e+000	1.386961e-003
1.599999999999996e+001	8.649106e+000	1.386961e-003
1.609999999999996e+001	8.749106e+000	1.386961e-003
1.619999999999996e+001	8.849107e+000	1.386961e-003
1.629999999999996e+001	8.949106e+000	1.386961e-003
1.639999999999996e+001	9.049107e+000	1.386961e-003
1.649999999999996e+001	9.149106e+000	1.386961e-003
1.659999999999997e+001	9.249106e+000	1.386961e-003
1.669999999999997e+001	9.349107e+000	1.386961e-003
1.679999999999997e+001	9.449106e+000	1.386961e-003
1.689999999999997e+001	9.549107e+000	1.386961e-003
1.699999999999997e+001	9.649106e+000	1.386961e-003
1.709999999999997e+001	9.749106e+000	1.386961e-003
1.719999999999997e+001	9.849107e+000	1.386961e-003
1.729999999999998e+001	9.949106e+000	1.386961e-003
1.739999999999998e+001	1.004911e+001	1.386961e-003
1.749999999999998e+001	1.014911e+001	1.386961e-003
1.759999999999998e+001	1.024911e+001	1.386961e-003
1.769999999999998e+001	1.034911e+001	1.386961e-003
1.779999999999998e+001	1.044911e+001	1.386961e-003
1.789999999999998e+001	1.054911e+001	1.386961e-003
1.799999999999999e+001	1.064911e+001	1.386961e-003
1.809999999999999e+001	1.074911e+001	1.386961e-003
1.819999999999999e+001	1.084911e+001	1.386961e-003
1.829999999999999e+001	1.094911e+001	1.386961e-003
1.839999999999999e+001	1.104911e+001	1.386961e-003
1.849999999999999e+001	1.114911e+001	1.386961e-003
1.859999999999999e+001	1.124911e+001	1.386961e-003
1.870000000000000e+001	1.134911e+001	1.386961e-003
1.880000000000000e+001	1.144911e+001	1.386961e-003
1.890000000000000e+001	1.154911e+001	1.386961e-003
1.900000000000000e+001	1.164911e+001	1.386961e-003
1.910000000000000e+001	1.174911e+001	1.386961e-003
1.920000000000000e+001	1.184911e+001	1.386961e-003
1.930000000000000e+001	1.194911e+001	1.386961e-003
1.940000000000001e+001	1.204911e+001	1.386961e-003
1.950000000000001e+001	1.214911e+001	1.386961e-003
1.960000000000001e+001	1.224911e+001	1.386961e-003
1.970000000000001e+001	1.234911e+001	1.386961e-003
1.980000000000001e+001	1.244911e+001	1.386961e-003
1.990000000000001e+001	1.254911e+001	1.386961e-003
2.000000000000000e+001	1.264911e+001	1.386961e-003
