v2	V(ds)	Id(M1)
1.529999999999996e+001	1.314506e+001	4.065918e-004
1.539999999999996e+001	1.324506e+001	4.065918e-004
1.549999999999996e+001	1.334506e+001	4.065918e-004
1.559999999999996e+001	1.344506e+001	4.065918e-004
1.569999999999996e+001	1.354506e+001	4.065918e-004
1.579999999999996e+001	1.364506e+001	4.065918e-004
1.589999999999996e+001	1.374506e+001	4.065918e-004
1.599999999999996e+001	1.384506e+001	4.065918e-004
1.609999999999996e+001	1.394506e+001	4.065918e-004
1.619999999999996e+001	1.404506e+001	4.065918e-004
1.629999999999996e+001	1.414506e+001	4.065918e-004
1.639999999999996e+001	1.424506e+001	4.065918e-004
1.649999999999996e+001	1.434506e+001	4.065918e-004
1.659999999999997e+001	1.444506e+001	4.065918e-004
1.669999999999997e+001	1.454506e+001	4.065918e-004
1.679999999999997e+001	1.464506e+001	4.065918e-004
1.689999999999997e+001	1.474506e+001	4.065918e-004
1.699999999999997e+001	1.484506e+001	4.065918e-004
1.709999999999997e+001	1.494506e+001	4.065918e-004
1.719999999999997e+001	1.504506e+001	4.065918e-004
1.729999999999998e+001	1.514506e+001	4.065918e-004
1.739999999999998e+001	1.524506e+001	4.065918e-004
1.749999999999998e+001	1.534506e+001	4.065918e-004
1.759999999999998e+001	1.544506e+001	4.065918e-004
1.769999999999998e+001	1.554506e+001	4.065918e-004
1.779999999999998e+001	1.564506e+001	4.065918e-004
1.789999999999998e+001	1.574506e+001	4.065918e-004
1.800000000000000e+001	1.584506e+001	4.065918e-004
0.000000000000000e+000	-5.043461e-025	-6.430285e-031
1.000000000000000e-001	9.225204e-004	1.869386e-005
2.000000000000000e-001	1.855951e-003	3.738565e-005
3.000000000000000e-001	2.800693e-003	5.607533e-005
4.000000000000000e-001	3.757169e-003	7.476278e-005
5.000000000000000e-001	4.725832e-003	9.344794e-005
6.000000000000000e-001	5.707165e-003	1.121307e-004
7.000000000000000e-001	6.701680e-003	1.308110e-004
7.999999999999999e-001	7.709929e-003	1.494887e-004
8.999999999999999e-001	8.732500e-003	1.681636e-004
9.999999999999999e-001	9.770027e-003	1.868358e-004
1.100000000000000e+000	1.082319e-002	2.055050e-004
1.200000000000000e+000	1.189273e-002	2.241711e-004
1.300000000000000e+000	1.297942e-002	2.428340e-004
1.400000000000000e+000	1.408415e-002	2.614935e-004
1.500000000000000e+000	1.520783e-002	2.801494e-004
1.600000000000000e+000	1.635149e-002	2.988015e-004
1.700000000000000e+000	1.751623e-002	3.174497e-004
1.800000000000001e+000	1.870329e-002	3.360937e-004
1.900000000000001e+000	1.991399e-002	3.547331e-004
2.000000000000000e+000	2.114982e-002	3.733679e-004
2.100000000000001e+000	2.241243e-002	3.919976e-004
2.200000000000001e+000	2.370364e-002	4.106218e-004
2.300000000000001e+000	2.502551e-002	4.292403e-004
2.400000000000001e+000	2.638033e-002	4.478526e-004
2.500000000000001e+000	2.777073e-002	4.664582e-004
2.600000000000001e+000	2.919967e-002	4.850565e-004
2.700000000000001e+000	3.067057e-002	5.036469e-004
2.800000000000001e+000	3.218737e-002	5.222285e-004
2.900000000000001e+000	3.375470e-002	5.408007e-004
3.000000000000001e+000	3.537798e-002	5.593622e-004
3.100000000000001e+000	3.706371e-002	5.779120e-004
3.200000000000002e+000	3.881975e-002	5.964484e-004
3.300000000000002e+000	4.065572e-002	6.149698e-004
3.400000000000002e+000	4.258373e-002	6.334736e-004
3.500000000000002e+000	4.461924e-002	6.519571e-004
3.600000000000002e+000	4.678260e-002	6.704162e-004
3.700000000000002e+000	4.910152e-002	6.888456e-004
3.800000000000002e+000	5.161548e-002	7.072373e-004
3.900000000000002e+000	5.438403e-002	7.255793e-004
4.000000000000002e+000	5.750499e-002	7.438505e-004
4.100000000000001e+000	6.116074e-002	7.620071e-004
4.200000000000001e+000	6.577527e-002	7.799203e-004
4.300000000000001e+000	7.351626e-002	7.974090e-004
4.400000000000000e+000	1.582306e-001	8.003339e-004
4.500000000000000e+000	2.582306e-001	8.003339e-004
4.600000000000000e+000	3.582306e-001	8.003339e-004
4.699999999999999e+000	4.582306e-001	8.003339e-004
4.799999999999999e+000	5.582306e-001	8.003339e-004
4.899999999999999e+000	6.582306e-001	8.003339e-004
4.999999999999998e+000	7.582306e-001	8.003339e-004
5.099999999999998e+000	8.582306e-001	8.003339e-004
5.199999999999998e+000	9.582306e-001	8.003339e-004
5.299999999999997e+000	1.058231e+000	8.003339e-004
5.399999999999997e+000	1.158231e+000	8.003339e-004
5.499999999999996e+000	1.258231e+000	8.003339e-004
5.599999999999996e+000	1.358231e+000	8.003339e-004
5.699999999999996e+000	1.458231e+000	8.003339e-004
5.799999999999995e+000	1.558231e+000	8.003339e-004
5.899999999999995e+000	1.658231e+000	8.003339e-004
5.999999999999995e+000	1.758231e+000	8.003339e-004
6.099999999999994e+000	1.858231e+000	8.003339e-004
6.199999999999994e+000	1.958231e+000	8.003339e-004
6.299999999999994e+000	2.058231e+000	8.003339e-004
6.399999999999993e+000	2.158231e+000	8.003339e-004
6.499999999999993e+000	2.258231e+000	8.003339e-004
6.599999999999993e+000	2.358231e+000	8.003339e-004
6.699999999999992e+000	2.458230e+000	8.003339e-004
6.799999999999992e+000	2.558231e+000	8.003339e-004
6.899999999999992e+000	2.658231e+000	8.003339e-004
6.999999999999991e+000	2.758230e+000	8.003339e-004
7.099999999999991e+000	2.858231e+000	8.003339e-004
7.199999999999990e+000	2.958230e+000	8.003339e-004
7.299999999999990e+000	3.058231e+000	8.003339e-004
7.399999999999990e+000	3.158231e+000	8.003339e-004
7.499999999999989e+000	3.258230e+000	8.003339e-004
7.599999999999989e+000	3.358231e+000	8.003339e-004
7.699999999999989e+000	3.458230e+000	8.003339e-004
7.799999999999988e+000	3.558231e+000	8.003339e-004
7.899999999999988e+000	3.658231e+000	8.003339e-004
7.999999999999988e+000	3.758230e+000	8.003339e-004
8.099999999999987e+000	3.858231e+000	8.003339e-004
8.199999999999987e+000	3.958230e+000	8.003339e-004
8.299999999999987e+000	4.058230e+000	8.003339e-004
8.399999999999986e+000	4.158231e+000	8.003339e-004
8.499999999999986e+000	4.258231e+000	8.003339e-004
8.599999999999985e+000	4.358231e+000	8.003339e-004
8.699999999999985e+000	4.458230e+000	8.003339e-004
8.799999999999985e+000	4.558230e+000	8.003339e-004
8.899999999999984e+000	4.658231e+000	8.003339e-004
8.999999999999984e+000	4.758231e+000	8.003339e-004
9.099999999999984e+000	4.858231e+000	8.003339e-004
9.199999999999983e+000	4.958230e+000	8.003339e-004
9.299999999999983e+000	5.058230e+000	8.003339e-004
9.399999999999983e+000	5.158230e+000	8.003339e-004
9.499999999999982e+000	5.258231e+000	8.003339e-004
9.599999999999982e+000	5.358231e+000	8.003339e-004
9.699999999999982e+000	5.458230e+000	8.003339e-004
9.799999999999981e+000	5.558230e+000	8.003339e-004
9.899999999999981e+000	5.658230e+000	8.003339e-004
9.999999999999981e+000	5.758231e+000	8.003339e-004
1.009999999999998e+001	5.858231e+000	8.003339e-004
1.019999999999998e+001	5.958230e+000	8.003339e-004
1.029999999999998e+001	6.058230e+000	8.003339e-004
1.039999999999998e+001	6.158230e+000	8.003339e-004
1.049999999999998e+001	6.258231e+000	8.003339e-004
1.059999999999998e+001	6.358231e+000	8.003339e-004
1.069999999999998e+001	6.458230e+000	8.003339e-004
1.079999999999998e+001	6.558230e+000	8.003339e-004
1.089999999999998e+001	6.658230e+000	8.003339e-004
1.099999999999998e+001	6.758231e+000	8.003339e-004
1.109999999999998e+001	6.858231e+000	8.003339e-004
1.119999999999998e+001	6.958230e+000	8.003339e-004
1.129999999999998e+001	7.058230e+000	8.003339e-004
1.139999999999998e+001	7.158230e+000	8.003339e-004
1.149999999999998e+001	7.258231e+000	8.003339e-004
1.159999999999998e+001	7.358231e+000	8.003339e-004
1.169999999999997e+001	7.458230e+000	8.003339e-004
1.179999999999997e+001	7.558230e+000	8.003339e-004
1.189999999999997e+001	7.658230e+000	8.003339e-004
1.199999999999997e+001	7.758231e+000	8.003339e-004
1.209999999999997e+001	7.858231e+000	8.003339e-004
1.219999999999997e+001	7.958230e+000	8.003339e-004
1.229999999999997e+001	8.058230e+000	8.003339e-004
1.239999999999997e+001	8.158231e+000	8.003339e-004
1.249999999999997e+001	8.258230e+000	8.003339e-004
1.259999999999997e+001	8.358231e+000	8.003339e-004
1.269999999999997e+001	8.458231e+000	8.003339e-004
1.279999999999997e+001	8.558230e+000	8.003339e-004
1.289999999999997e+001	8.658231e+000	8.003339e-004
1.299999999999997e+001	8.758230e+000	8.003339e-004
1.309999999999997e+001	8.858231e+000	8.003339e-004
1.319999999999997e+001	8.958231e+000	8.003339e-004
1.329999999999997e+001	9.058230e+000	8.003339e-004
1.339999999999997e+001	9.158231e+000	8.003339e-004
1.349999999999997e+001	9.258230e+000	8.003339e-004
1.359999999999997e+001	9.358231e+000	8.003339e-004
1.369999999999997e+001	9.458230e+000	8.003339e-004
1.379999999999997e+001	9.558230e+000	8.003339e-004
1.389999999999997e+001	9.658231e+000	8.003339e-004
1.399999999999997e+001	9.758230e+000	8.003339e-004
1.409999999999997e+001	9.858231e+000	8.003339e-004
1.419999999999997e+001	9.958230e+000	8.003339e-004
1.429999999999997e+001	1.005823e+001	8.003339e-004
1.439999999999997e+001	1.015823e+001	8.003339e-004
1.449999999999996e+001	1.025823e+001	8.003339e-004
1.459999999999996e+001	1.035823e+001	8.003339e-004
1.469999999999996e+001	1.045823e+001	8.003339e-004
1.479999999999996e+001	1.055823e+001	8.003339e-004
1.489999999999996e+001	1.065823e+001	8.003339e-004
1.499999999999996e+001	1.075823e+001	8.003339e-004
1.509999999999996e+001	1.085823e+001	8.003339e-004
1.519999999999996e+001	1.095823e+001	8.003339e-004
1.529999999999996e+001	1.105823e+001	8.003339e-004
1.539999999999996e+001	1.115823e+001	8.003339e-004
1.549999999999996e+001	1.125823e+001	8.003339e-004
1.559999999999996e+001	1.135823e+001	8.003339e-004
1.569999999999996e+001	1.145823e+001	8.003339e-004
1.579999999999996e+001	1.155823e+001	8.003339e-004
1.589999999999996e+001	1.165823e+001	8.003339e-004
1.599999999999996e+001	1.175823e+001	8.003339e-004
1.609999999999996e+001	1.185823e+001	8.003339e-004
1.619999999999996e+001	1.195823e+001	8.003339e-004
1.629999999999996e+001	1.205823e+001	8.003339e-004
1.639999999999996e+001	1.215823e+001	8.003339e-004
1.649999999999996e+001	1.225823e+001	8.003339e-004
1.659999999999997e+001	1.235823e+001	8.003339e-004
1.669999999999997e+001	1.245823e+001	8.003339e-004
1.679999999999997e+001	1.255823e+001	8.003339e-004
1.689999999999997e+001	1.265823e+001	8.003339e-004
1.699999999999997e+001	1.275823e+001	8.003339e-004
1.709999999999997e+001	1.285823e+001	8.003339e-004
1.719999999999997e+001	1.295823e+001	8.003339e-004
1.729999999999998e+001	1.305823e+001	8.003339e-004
1.739999999999998e+001	1.315823e+001	8.003339e-004
1.749999999999998e+001	1.325823e+001	8.003339e-004
1.759999999999998e+001	1.335823e+001	8.003339e-004
1.769999999999998e+001	1.345823e+001	8.003339e-004
1.779999999999998e+001	1.355823e+001	8.003339e-004
1.789999999999998e+001	1.365823e+001	8.003339e-004
1.800000000000000e+001	1.375823e+001	8.003339e-004
0.000000000000000e+000	-2.543157e-022	2.965777e-030
1.000000000000000e-001	7.025848e-004	1.873536e-005
2.000000000000000e-001	1.409922e-003	3.746982e-005
3.000000000000000e-001	2.122109e-003	5.620337e-005
4.000000000000000e-001	2.839249e-003	7.493599e-005
5.000000000000000e-001	3.561447e-003	9.366765e-005
6.000000000000000e-001	4.288813e-003	1.123983e-004
7.000000000000000e-001	5.021460e-003	1.311280e-004
7.999999999999999e-001	5.759507e-003	1.498567e-004
8.999999999999999e-001	6.503074e-003	1.685843e-004
9.999999999999999e-001	7.252290e-003	1.873109e-004
1.100000000000000e+000	8.007285e-003	2.060364e-004
1.200000000000000e+000	8.768197e-003	2.247607e-004
1.300000000000000e+000	9.535169e-003	2.434839e-004
1.400000000000000e+000	1.030835e-002	2.622060e-004
1.500000000000000e+000	1.108789e-002	2.809268e-004
1.600000000000000e+000	1.187395e-002	2.996464e-004
1.700000000000000e+000	1.266671e-002	3.183648e-004
1.800000000000001e+000	1.346633e-002	3.370818e-004
1.900000000000001e+000	1.427300e-002	3.557975e-004
2.000000000000000e+000	1.508691e-002	3.745119e-004
2.100000000000001e+000	1.590826e-002	3.932249e-004
2.200000000000001e+000	1.673726e-002	4.119363e-004
2.300000000000001e+000	1.757413e-002	4.306464e-004
2.400000000000001e+000	1.841910e-002	4.493549e-004
2.500000000000001e+000	1.927241e-002	4.680618e-004
2.600000000000001e+000	2.013431e-002	4.867671e-004
2.700000000000001e+000	2.100508e-002	5.054707e-004
2.800000000000001e+000	2.188499e-002	5.241726e-004
2.900000000000001e+000	2.277433e-002	5.428728e-004
3.000000000000001e+000	2.367343e-002	5.615710e-004
3.100000000000001e+000	2.458261e-002	5.802674e-004
3.200000000000002e+000	2.550223e-002	5.989618e-004
3.300000000000002e+000	2.643264e-002	6.176542e-004
3.400000000000002e+000	2.737425e-002	6.363445e-004
3.500000000000002e+000	2.832747e-002	6.550325e-004
3.600000000000002e+000	2.929274e-002	6.737183e-004
3.700000000000002e+000	3.027053e-002	6.924018e-004
3.800000000000002e+000	3.126136e-002	7.110827e-004
3.900000000000002e+000	3.226576e-002	7.297611e-004
4.000000000000002e+000	3.328430e-002	7.484369e-004
