time	V(vd)	V(n001)	I(R1)
1.463107200047541e-008	2.966573e-001	1.148670e+000	-8.260962e-005
1.473107200047541e-008	2.978641e-001	8.408476e-001	-5.263630e-005
1.483107200047541e-008	2.985088e-001	5.297071e-001	-2.239569e-005
1.513107200047541e-008	2.970707e-001	-4.113095e-001	6.873538e-005
1.533107200047541e-008	2.932810e-001	-1.032609e+000	1.286282e-004
1.553107200047542e-008	2.871894e-001	-1.637623e+000	1.867181e-004
1.573107200047542e-008	2.787619e-001	-2.216810e+000	2.420762e-004
1.593107200047542e-008	2.679845e-001	-2.761038e+000	2.938154e-004
1.613107200047542e-008	2.548859e-001	-3.261722e+000	3.411058e-004
1.633107200047542e-008	2.395560e-001	-3.710967e+000	3.831904e-004
1.653107200047542e-008	2.221557e-001	-4.101687e+000	4.193977e-004
1.673107200047543e-008	2.029132e-001	-4.427722e+000	4.491521e-004
1.693107200047543e-008	1.821132e-001	-4.683929e+000	4.719826e-004
1.713107200047543e-008	1.600818e-001	-4.866267e+000	4.875289e-004
1.733107200047543e-008	1.371736e-001	-4.971862e+000	4.955466e-004
1.753107200047543e-008	1.137618e-001	-4.999047e+000	4.959104e-004
1.773107200047544e-008	9.023114e-002	-4.947394e+000	4.886159e-004
1.793107200047544e-008	6.697257e-002	-4.817719e+000	4.737804e-004
1.813107200047544e-008	4.437762e-002	-4.612064e+000	4.516399e-004
1.823107200047544e-008	3.345007e-002	-4.481713e+000	4.379360e-004
1.833107200047544e-008	2.283245e-002	-4.333675e+000	4.225468e-004
1.843107200047544e-008	1.257106e-002	-4.168533e+000	4.055332e-004
1.853107200047544e-008	2.711016e-003	-3.986941e+000	3.869629e-004
1.863107200047544e-008	-6.704065e-003	-3.789613e+000	3.669097e-004
1.873107200047544e-008	-1.563224e-002	-3.577330e+000	3.454533e-004
1.883107200047545e-008	-2.403352e-002	-3.350929e+000	3.226786e-004
1.893107200047545e-008	-3.187008e-002	-3.111303e+000	2.986761e-004
1.903107200047545e-008	-3.910650e-002	-2.859399e+000	2.735408e-004
1.913107200047545e-008	-4.570996e-002	-2.596209e+000	2.473726e-004
1.923107200047545e-008	-5.165047e-002	-2.322774e+000	2.202749e-004
1.933107200047545e-008	-5.690106e-002	-2.040171e+000	1.923551e-004
1.943107200047545e-008	-6.143791e-002	-1.749517e+000	1.637236e-004
1.953107200047545e-008	-6.524055e-002	-1.451959e+000	1.344937e-004
1.963107200047545e-008	-6.829196e-002	-1.148670e+000	1.047810e-004
1.973107200047545e-008	-7.057870e-002	-8.408476e-001	7.470285e-005
1.983107200047545e-008	-7.209098e-002	-5.297071e-001	4.437800e-005
1.993107200047546e-008	-7.288361e-002	-2.164760e-001	1.392457e-005
2.000000000000000e-008	-7.306714e-002	-2.449294e-015	-7.093897e-006
