time	V(vd)	V(n001)	I(R1)
1.823898029668811e-001	-4.466210e+000	-4.470644e+000	-2.239293e-009
1.843898029668811e-001	-4.150643e+000	-4.154764e+000	-2.161319e-009
1.863898029668811e-001	-3.769617e+000	-3.773361e+000	-2.082492e-009
1.883898029668811e-001	-3.329142e+000	-3.332451e+000	-2.002052e-009
1.903898029668811e-001	-2.836164e+000	-2.838985e+000	-1.918658e-009
1.923898029668811e-001	-2.298458e+000	-2.300747e+000	-1.829919e-009
1.943898029668811e-001	-1.724504e+000	-1.726224e+000	-1.731349e-009
1.963898029668811e-001	-1.123352e+000	-1.124479e+000	-1.613756e-009
1.983898029668811e-001	-5.044858e-001	-5.049989e-001	-1.445760e-009
1.993898029668811e-001	-1.915097e-001	-1.916552e-001	-5.448441e-010
2.000000000000000e-001	-1.218310e-005	-3.141593e-006	8.779337e-010
